bank_id,report_date,total_loans,total_charge_off,total_recovery,tier1_capital,risk_weighted_assets,tier1_ratio,computed_tier1_ratio,equity_capital,equity_to_assets_ratio,total_assets,mapped_exposure,mapped_charge_off,mapped_recovery,mapped_nco,mapped_segment_count,exception_type,total_charge_off_reclass_flag,total_recovery_reclass_flag,mapped_charge_off_reclass_flag,mapped_recovery_reclass_flag,flow_reclass_flag,covered_share_of_total_loans,reported_total_nco,mapped_minus_reported_nco,charge_off_subset_difference,recovery_subset_difference,nco_reconciliation_tolerance_thousands,charge_off_ytd_reclass_causally_explains,recovery_ytd_reclass_causally_explains,nco_reconciliation_status,capital_ratio_difference_basis_points,capital_reconciliation_tolerance_basis_points,capital_reconciliation_status
12311,2005-03-31,24305251.0,37213.0,8773.0,1865022.0,29789274.0,0.0626,0.0626071652501501,1586973.0,0.050012271650860377,31731672.0,11141447.0,20008.0,3421.0,16587.0,3.0,,0,0,0,0,0,0.45839670612741257,28440.0,-11853.0,-17205.0,-5352.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.07165250150098501,1.0,PASS_WITHIN_TOLERANCE
12311,2005-06-30,24805193.0,25233.0,9433.0,1956250.0,29567496.0,0.0662,0.06616218025361363,1695310.0,0.0520250029099521,32586447.0,11674175.0,-7390.0,1506.0,-8896.0,3.0,,0,0,1,0,1,0.47063431435506264,15800.0,-24696.0,-32623.0,-7927.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.3781974638636387,1.0,PASS_WITHIN_TOLERANCE
12311,2005-09-30,24788771.0,25830.0,7876.0,1979969.0,28981738.0,0.068318,0.0683178144802772,1681240.0,0.0519072528502307,32389308.0,11770130.0,7757.0,2869.0,4888.0,3.0,,0,0,0,0,0,0.4748170048446532,17954.0,-13066.0,-18073.0,-5007.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.0018551972280622664,1.0,PASS_WITHIN_TOLERANCE
12311,2005-12-31,24623195.0,27072.0,9498.0,1994479.0,29243331.0,0.068203,0.06820286649287662,1694551.0,0.052277964166994456,32414250.0,11748537.0,8602.0,1658.0,6944.0,3.0,,0,0,0,0,0,0.4771329228396234,17574.0,-10630.0,-18470.0,-7840.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.0013350712338433546,1.0,PASS_WITHIN_TOLERANCE
12311,2006-03-31,26294495.0,31767.0,9190.0,2096496.0,30959353.0,0.067718,0.06771769422959194,2197146.0,0.062345565229274556,35241416.0,12790928.0,12732.0,2277.0,10455.0,3.0,,0,0,0,0,0,0.48644889358019616,22577.0,-12122.0,-19035.0,-6913.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.0030577040806278877,1.0,PASS_WITHIN_TOLERANCE
12311,2006-06-30,26474557.0,24325.0,10373.0,2060637.0,31267472.0,0.065904,0.06590353706881068,2146764.0,0.0598201536607898,35886969.0,13247621.0,8008.0,3100.0,4908.0,3.0,,0,0,0,0,0,0.5003906580948645,13952.0,-9044.0,-16317.0,-7273.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.004629311893267207,1.0,PASS_WITHIN_TOLERANCE
12311,2006-09-30,26460335.0,28166.0,7887.0,2112338.0,31017745.0,0.068101,0.06810095318018766,2271430.0,0.06433203979889833,35307912.0,13308204.0,8387.0,1820.0,6567.0,3.0,,0,0,0,0,0,0.502949187907107,20279.0,-13712.0,-19779.0,-6067.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.00046819812332676847,1.0,PASS_WITHIN_TOLERANCE
12311,2006-12-31,26215030.0,32750.0,9866.0,1989887.0,30778664.0,0.064652,0.06465150664109397,2067469.0,0.05921602987499946,34914009.0,13325659.0,12702.0,2689.0,10013.0,3.0,,0,0,0,0,0,0.5083213332199124,22884.0,-12871.0,-20048.0,-7177.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.004933589060340804,1.0,PASS_WITHIN_TOLERANCE
12311,2007-03-31,26337847.0,27813.0,9694.0,2077357.0,31092183.0,0.066813,0.06681283845524774,2148802.0,0.06230260807845575,34489760.0,13466975.0,7939.0,2757.0,5182.0,3.0,,0,0,0,0,0,0.5113164716918585,18119.0,-12937.0,-19874.0,-6937.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.0016154475225571563,1.0,PASS_WITHIN_TOLERANCE
12311,2007-06-30,26960999.0,38350.0,9659.0,2081562.0,31777648.0,0.065504,0.06550396681340293,2114537.0,0.05878265625905215,35972124.0,13977406.0,18581.0,4442.0,14139.0,3.0,,0,0,0,0,0,0.5184305670572519,28691.0,-14552.0,-19769.0,-5217.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.00033186597081513725,1.0,PASS_WITHIN_TOLERANCE
